frame	time	x	y	burst
642993	32	354	392	0
642994	63	355	392	0
642995	96	356	390	0
642996	136	356	389	0
642997	168	359	390	0
642998	199	359	388	0
642999	232	361	387	0
643000	264	364	386	0
643001	295	367	385	0
643002	336	368	383	0
643003	368	370	381	0
643004	400	373	378	0
643005	432	375	377	0
643006	463	378	375	0
643007	496	380	373	0
643008	536	382	371	0
643009	568	385	370	0
643010	600	388	367	0
643011	631	389	365	0
643012	664	392	364	0
643013	695	395	362	0
643014	736	398	360	0
643015	768	399	358	0
643016	800	403	356	0
643017	832	405	354	0
643018	863	406	353	0
643019	895	407	352	0
643020	936	409	352	0
643021	968	408	351	0
643022	1000	410	351	0
643023	1031	410	351	0
643024	1064	411	351	0
643025	1095	411	350	0
643026	1135	410	351	0
643027	1168	410	351	0
643028	1200	410	351	0
643029	1232	410	351	0
643030	1263	410	351	0
643031	1296	410	351	0
643032	1336	411	351	0
643033	1368	411	352	0
643034	1400	411	353	0
643035	1432	411	352	0
643036	1464	412	353	0
643037	1495	413	354	0
643038	1536	413	353	0
643039	1568	414	354	0
643040	1600	415	354	0
643041	1632	416	355	0
643042	1664	416	355	0
643043	1695	416	355	0
643044	1736	418	358	0
643045	1768	417	359	0
643046	1800	418	360	0
643047	1832	419	362	0
643048	1864	420	363	0
643049	1895	422	366	0
643050	1936	424	368	0
643051	1968	426	369	0
643052	2000	429	372	0
643053	2032	431	372	0
643054	2064	435	374	0
643055	2095	436	373	0
643056	2135	437	374	0
643057	2168	439	376	0
643058	2200	439	375	0
643059	2232	440	375	0
643060	2264	440	376	0
643061	2295	439	374	0
643062	2335	439	374	0
643063	2368	439	374	0
643064	2400	441	375	0
643065	2432	439	375	0
643066	2464	440	376	0
643067	2495	440	375	0
643068	2527	440	375	0
643069	2567	439	375	0
643070	2600	438	374	0
643071	2632	438	374	0
643072	2664	439	375	0
643073	2696	439	375	0
643074	2735	439	376	0
643075	2767	439	376	0
643076	2800	439	377	0
643077	2832	441	379	0
643078	2864	443	380	0
643079	2896	443	381	0
643080	2935	445	385	0
643081	2967	445	383	0
643082	3000	444	383	0
643083	3031	444	383	0
643084	3064	443	381	0
643085	3096	442	379	0
643086	3135	442	380	0
643087	3167	442	379	0
643088	3200	442	380	0
643089	3232	442	378	0
643090	3264	442	377	0
643091	3296	442	376	0
643092	3335	443	376	0
643093	3367	441	374	0
643094	3399	443	372	0
643095	3432	443	371	0
643096	3464	443	370	0
643097	3496	446	367	0
643098	3535	448	365	0
643099	3567	450	363	0
643100	3599	452	361	0
643101	3632	456	360	0
643102	3664	456	357	0
643103	3696	457	357	0
643104	3728	459	354	0
643105	3767	458	354	0
643106	3799	459	353	0
643107	3832	460	352	0
643108	3863	461	352	0
643109	3896	462	352	0
643110	3928	461	351	0
643111	3967	462	352	0
643112	3999	461	350	0
643113	4031	462	352	0
643114	4063	462	352	0
643115	4096	462	351	0
643116	4128	463	350	0
643117	4167	464	348	0
643118	4199	466	347	0
643119	4231	467	345	0
643120	4264	466	344	0
643121	4295	469	340	0
643122	4328	470	341	0
643123	4367	473	342	0
643124	4399	473	341	0
643125	4431	473	341	0
643126	4464	471	341	0
643127	4496	472	341	0
643128	4528	472	340	0
643129	4567	472	341	0
643130	4599	473	341	0
643131	4631	472	341	0
643132	4663	473	341	0
643133	4696	473	342	0
643134	4728	472	341	0
643135	4767	470	341	0
643136	4799	472	341	0
643137	4831	472	341	0
643138	4863	472	341	0
643139	4896	473	341	0
643140	4927	474	341	0
643141	4967	473	342	0
643142	4999	473	341	0
643143	5031	472	341	0
643144	5063	474	339	0
643145	5095	473	340	0
643146	5127	473	340	0
643147	5167	473	338	0
643148	5199	472	337	0
643149	5231	470	333	0
643150	5263	471	332	0
643151	5295	470	330	0
643152	5327	470	328	0
643153	5367	469	324	0
643154	5399	469	322	0
643155	5431	468	320	0
643156	5463	467	317	0
643157	5495	466	313	0
643158	5527	466	310	0
643159	5567	466	307	0
643160	5599	466	304	0
643161	5631	465	301	0
643162	5663	465	298	0
643163	5695	465	294	0
643164	5727	465	290	0
643165	5767	465	287	0
643166	5799	465	283	0
643167	5831	465	279	0
643168	5863	465	277	0
643169	5895	466	274	0
643170	5927	466	272	0
643171	5967	467	269	0
643172	5999	468	267	0
643173	6031	469	265	0
643174	6063	470	262	0
643175	6095	472	259	0
643176	6127	473	255	0
643177	6167	473	252	0
643178	6200	475	249	0
643179	6231	476	245	0
643180	6263	476	244	0
