frame	time	x	y	burst
452275	32	263	459	0
452276	64	262	457	0
452277	95	258	455	0
452278	127	253	453	0
452279	159	250	450	0
452280	190	246	449	0
452281	223	240	448	0
452282	270	238	445	0
452283	302	231	444	0
452284	334	227	443	0
452285	366	224	440	0
452286	399	218	440	0
452287	430	216	437	0
452288	463	212	436	0
452289	495	207	434	0
452290	526	204	434	0
452291	558	204	432	0
452292	590	204	432	0
452293	622	202	431	0
452294	670	199	431	0
452295	702	197	430	0
452296	734	195	429	0
452297	766	191	427	0
452298	799	186	426	0
452299	831	182	425	0
452300	863	176	424	0
452301	895	173	423	0
452302	926	168	423	0
452303	959	169	422	0
452304	990	166	422	0
452305	1022	165	421	0
452306	1074	165	420	0
452307	1117	163	420	0
452308	1147	163	417	0
452309	1176	163	416	0
452310	1206	163	415	0
452311	1237	163	412	0
452312	1266	163	409	0
452313	1296	163	406	0
452314	1326	166	403	0
452315	1358	166	400	0
452316	1390	168	397	0
452317	1423	171	394	0
452318	1470	172	391	0
452319	1502	176	386	0
452320	1535	178	383	0
452321	1566	180	379	0
452322	1599	181	377	0
452323	1631	182	374	0
452324	1663	183	370	0
452325	1694	184	366	0
452326	1726	186	361	0
452327	1758	187	358	0
452328	1790	188	352	0
452329	1822	190	349	0
452330	1854	191	344	0
452331	1902	193	339	0
452332	1934	194	334	0
452333	1967	195	330	0
452334	1999	197	325	0
452335	2031	200	319	0
452336	2062	200	316	0
452337	2094	202	310	0
452338	2126	203	307	0
452339	2158	205	302	0
452340	2190	207	297	0
452341	2222	208	293	0
452342	2254	210	289	0
452343	2308	212	285	0
452344	2349	214	280	0
452345	2380	215	276	0
452346	2409	218	271	0
452347	2439	218	267	0
452348	2468	221	262	0
452349	2499	222	258	0
452350	2528	223	253	0
452351	2558	224	249	0
452352	2590	225	245	0
452353	2622	227	240	0
452354	2654	228	236	0
452355	2702	229	232	0
452356	2735	231	228	0
452357	2767	233	223	0
452358	2798	234	220	0
452359	2830	235	215	0
452360	2862	236	211	0
452361	2894	238	205	0
452362	2926	239	203	0
452363	2958	240	199	0
452364	2990	241	195	0
452365	3022	242	190	0
452366	3054	244	185	0
452367	3102	245	183	0
452368	3135	247	178	0
452369	3166	249	175	0
452370	3198	250	171	0
452371	3230	252	166	0
452372	3262	253	163	0
452373	3294	254	159	0
452374	3326	257	154	0
452375	3358	258	152	0
452376	3390	260	148	0
452377	3422	261	145	0
452378	3454	263	140	0
452379	3508	264	137	0
452380	3549	267	132	0
452381	3578	268	129	0
452382	3608	269	125	0
452383	3637	271	121	0
452384	3666	272	117	0
452385	3695	273	113	0
452386	3726	275	109	0
452387	3758	276	106	0
452388	3790	277	103	0
452389	3822	278	98	0
452390	3855	280	94	0
452391	3903	281	90	0
452392	3934	282	88	0
452393	3966	284	83	0
452394	3998	285	80	0
452395	4030	286	77	0
452396	4062	288	73	0
452397	4094	289	71	0
452398	4126	291	67	0
452399	4158	293	62	0
452400	4190	295	59	0
452401	4223	296	57	0
452402	4255	298	54	0
452403	4302	300	51	0
452404	4334	301	47	0
452405	4366	302	45	0
452406	4398	303	42	0
452407	4430	305	37	0
452408	4462	306	35	0
452409	4494	307	32	0
452410	4526	309	29	0
452411	4558	311	26	0
452412	4590	312	23	0
452413	4623	313	21	0
452414	4655	314	19	0
452415	4708	317	18	0
452416	4748	319	19	0
452417	4778	321	19	0
452418	4807	322	19	0
452419	4836	323	19	0
452420	4866	323	19	0
452421	4897	324	19	0
452422	4927	324	19	0
452423	4958	324	19	0
452424	4991	324	19	0
452425	5023	324	19	0
452426	5054	324	19	0
452427	5102	324	19	0
452428	5134	324	19	0
452429	5166	324	19	0
452430	5198	324	20	0
452431	5230	325	20	0
452432	5262	326	19	0
452433	5294	327	18	0
452434	5326	330	17	0
452435	5359	331	17	0
452436	5391	333	19	0
452437	5422	334	20	0
452438	5454	336	22	0
452439	5502	337	23	0
452440	5534	339	25	0
452441	5566	340	29	0
452442	5598	342	33	0
452443	5630	343	36	0
452444	5662	345	40	0
452445	5694	347	44	0
452446	5727	348	47	0
452447	5759	349	50	0
452448	5790	351	54	0
452449	5822	353	59	0
452450	5854	354	61	0
452451	5908	357	66	0
452452	5948	360	70	0
452453	5979	363	74	0
452454	6007	364	77	0
452455	6036	368	82	0
452456	6067	371	85	0
452457	6097	373	89	0
452458	6127	374	92	0
452459	6159	376	95	0
452460	6190	380	100	0
452461	6222	381	102	0
452462	6254	385	107	0
452463	6302	387	110	0
452464	6334	389	113	0
