frame	time	x	y	burst
385060	32	245	203	0
385061	64	244	201	0
385062	95	243	199	0
385063	127	242	197	0
385064	167	241	195	0
385065	199	241	193	0
385066	231	241	191	0
385067	263	240	190	0
385068	295	239	188	0
385069	327	238	188	0
385070	367	237	186	0
385071	399	237	183	0
385072	431	236	181	0
385073	463	235	178	0
385074	495	235	178	0
385075	527	234	177	0
385076	567	233	176	0
385077	599	233	175	0
385078	631	232	175	0
385079	663	232	174	0
385080	695	231	174	0
385081	727	230	174	0
385082	767	229	173	0
385083	800	228	171	0
385084	831	227	171	0
385085	863	225	169	0
385086	895	224	168	0
385087	927	223	167	0
385088	967	222	166	0
385089	999	222	166	0
385090	1031	220	165	0
385091	1063	220	165	0
385092	1095	219	164	0
385093	1127	218	162	0
385094	1167	214	160	0
385095	1200	214	159	0
385096	1231	211	156	0
385097	1263	209	153	0
385098	1295	207	151	0
385099	1327	204	149	0
385100	1367	204	148	0
385101	1399	201	147	0
385102	1431	200	144	0
385103	1463	197	142	0
385104	1495	195	140	0
385105	1527	194	138	0
385106	1559	192	137	0
385107	1599	191	135	0
385108	1631	190	134	0
385109	1663	189	133	0
385110	1695	187	132	0
385111	1727	186	131	0
385112	1759	185	130	0
385113	1799	184	129	0
385114	1832	182	128	0
385115	1863	182	128	0
385116	1895	182	127	0
385117	1927	180	126	0
385118	1959	178	124	0
385119	1999	176	122	0
385120	2031	175	121	0
385121	2063	172	117	0
385122	2095	170	115	0
385123	2127	169	114	0
385124	2159	167	112	0
385125	2199	164	109	0
385126	2231	163	107	0
385127	2263	161	106	0
385128	2295	159	103	0
385129	2327	156	101	0
385130	2359	154	100	0
385131	2399	152	98	0
385132	2431	150	96	0
385133	2463	149	95	0
385134	2495	148	94	0
385135	2527	147	93	0
385136	2559	145	91	0
385137	2599	142	89	0
385138	2631	140	89	0
385139	2663	138	88	0
385140	2695	136	87	0
385141	2727	135	86	0
385142	2759	134	85	0
385143	2799	134	85	0
385144	2831	134	85	0
385145	2863	134	85	0
385146	2895	134	85	0
385147	2927	134	85	0
385148	2959	134	85	0
385149	2999	134	85	0
385150	3031	134	85	0
385151	3063	133	85	0
385152	3095	133	84	0
385153	3127	133	84	0
385154	3159	134	85	0
385155	3199	133	84	0
385156	3231	133	85	0
385157	3263	133	84	0
385158	3295	134	85	0
385159	3327	133	84	0
385160	3359	134	85	0
385161	3399	134	85	0
385162	3431	134	85	0
385163	3463	133	84	0
385164	3495	133	84	0
385165	3527	133	84	0
385166	3559	134	85	0
385167	3599	133	84	0
385168	3631	133	84	0
385169	3663	133	84	0
385170	3696	133	84	0
385171	3728	133	85	0
385172	3760	133	85	0
385173	3800	133	85	0
385174	3832	133	86	0
385175	3864	133	86	0
385176	3896	132	86	0
385177	3928	132	86	0
385178	3960	132	87	0
385179	4000	131	87	0
385180	4032	131	87	0
385181	4064	131	87	0
385182	4096	131	88	0
385183	4128	131	88	0
385184	4160	131	88	0
385185	4200	131	88	0
385186	4232	130	88	0
385187	4264	131	88	0
385188	4296	129	89	0
385189	4328	129	89	0
385190	4360	128	90	0
385191	4400	127	90	0
385192	4432	128	90	0
385193	4464	128	90	0
385194	4496	128	90	0
385195	4528	128	90	0
385196	4560	127	91	0
385197	4600	127	91	0
385198	4632	127	91	0
385199	4664	127	90	0
385200	4696	128	90	0
385201	4728	128	90	0
385202	4760	128	90	0
385203	4800	127	91	0
385204	4831	127	91	0
385205	4864	127	91	0
385206	4896	127	90	0
385207	4928	127	90	0
385208	4960	126	91	0
385209	5000	126	91	0
385210	5032	125	92	0
385211	5064	124	92	0
385212	5096	124	92	0
385213	5128	124	92	0
385214	5160	124	92	0
385215	5200	125	92	0
385216	5232	125	92	0
385217	5263	125	92	0
385218	5296	125	92	0
385219	5328	124	92	0
385220	5360	124	92	0
385221	5400	124	92	0
385222	5431	123	93	0
385223	5464	123	93	0
385224	5496	123	93	0
385225	5528	124	93	0
385226	5560	125	94	0
385227	5600	125	95	0
385228	5632	123	96	0
385229	5664	124	97	0
385230	5696	123	98	0
385231	5728	123	99	0
385232	5760	122	101	0
385233	5800	121	102	0
385234	5832	120	104	0
385235	5863	119	105	0
385236	5896	119	106	0
385237	5928	117	108	0
385238	5960	117	109	0
385239	6000	116	109	0
385240	6032	115	110	0
385241	6063	115	111	0
385242	6096	113	113	0
385243	6128	112	113	0
385244	6160	110	115	0
385245	6200	110	115	0
385246	6232	109	116	0
385247	6263	107	117	0
385248	6296	107	117	0
385249	6328	106	118	0
385250	6360	106	118	0
385251	6400	106	118	0
385252	6432	106	118	0
385253	6463	106	118	0
385254	6496	106	118	0
385255	6528	106	118	0
385256	6560	106	118	0
385257	6600	105	119	0
385258	6632	105	119	0
385259	6664	104	119	0
385260	6695	104	119	0
385261	6728	104	119	0
385262	6760	104	119	0
385263	6800	104	119	0
385264	6832	104	119	0
385265	6864	102	120	0
385266	6896	102	120	0
385267	6928	102	120	0
385268	6960	102	120	0
385269	7000	102	120	0
385270	7032	103	120	0
385271	7064	102	120	0
385272	7096	102	120	0
385273	7128	102	120	0
385274	7160	102	120	0
385275	7200	103	120	0
385276	7232	102	120	0
385277	7264	102	120	0
385278	7296	102	120	0
385279	7328	102	120	0
385280	7360	102	120	0
385281	7400	102	120	0
385282	7431	101	120	0
385283	7464	101	119	0
385284	7496	101	120	0
385285	7528	101	120	0
385286	7560	100	120	0
385287	7592	100	120	0
385288	7631	100	121	0
385289	7664	100	121	0
385290	7696	101	121	0
385291	7727	101	121	0
385292	7759	101	121	0
385293	7792	101	121	0
385294	7831	102	121	0
385295	7864	102	122	0
385296	7895	102	122	0
385297	7928	103	122	0
385298	7959	103	122	0
385299	7992	103	123	0
385300	8031	103	123	0
385301	8064	103	124	0
385302	8095	104	124	0
385303	8127	103	126	0
385304	8159	104	126	0
385305	8192	104	127	0
385306	8231	104	128	0
385307	8263	104	129	0
385308	8295	104	131	0
385309	8328	104	131	0
385310	8359	104	131	0
385311	8391	105	132	0
385312	8431	104	133	0
385313	8463	104	135	0
385314	8495	105	137	0
385315	8527	105	138	0
385316	8559	105	139	0
385317	8591	105	139	0
385318	8631	105	141	0
385319	8663	106	143	0
385320	8695	106	143	0
385321	8727	106	144	0
385322	8759	106	146	0
385323	8791	106	146	0
385324	8831	107	147	0
385325	8863	106	149	0
385326	8895	107	149	0
385327	8927	107	150	0
385328	8959	106	151	0
385329	8991	107	152	0
385330	9031	106	154	0
385331	9063	106	155	0
385332	9095	105	157	0
385333	9127	105	159	0
385334	9159	104	161	0
385335	9191	103	162	0
385336	9231	102	164	0
385337	9263	102	164	0
385338	9295	101	167	0
385339	9327	100	168	0
385340	9359	98	170	0
385341	9391	99	171	0
385342	9431	98	173	0
385343	9474	97	174	0
385344	9502	95	176	0
385345	9530	94	178	0
385346	9559	92	179	0
385347	9591	92	181	0
385348	9631	89	183	0
385349	9664	89	184	0
385350	9695	87	187	0
385351	9727	86	189	0
385352	9759	84	191	0
385353	9791	83	193	0
385354	9831	82	194	0
385355	9863	80	196	0
385356	9895	80	197	0
385357	9927	79	198	0
385358	9959	78	199	0
385359	9991	77	201	0
385360	10031	75	202	0
385361	10063	74	203	0
385362	10095	73	203	0
385363	10127	72	204	0
385364	10159	72	204	0
385365	10191	72	205	0
385366	10231	72	205	0
385367	10263	72	206	0
385368	10295	73	207	0
385369	10327	73	208	0
385370	10359	74	210	0
385371	10391	74	210	0
385372	10431	75	211	0
385373	10463	75	212	0
385374	10495	77	213	0
385375	10527	78	215	0
385376	10559	79	216	0
385377	10591	81	216	0
385378	10631	83	218	0
385379	10663	84	218	0
385380	10695	87	220	0
385381	10727	89	222	0
385382	10759	93	224	0
385383	10791	95	225	0
385384	10831	97	227	0
385385	10863	100	229	0
385386	10895	102	230	0
385387	10927	106	232	0
385388	10959	107	234	0
385389	10991	110	235	0
385390	11032	112	236	0
385391	11063	116	237	0
385392	11095	117	237	0
385393	11127	120	237	0
385394	11159	123	238	0
385395	11191	126	239	0
385396	11232	129	240	0
385397	11263	131	240	0
385398	11295	133	241	0
385399	11327	136	242	0
385400	11359	135	242	0
385401	11391	136	243	0
385402	11432	137	243	0
385403	11463	140	245	0
385404	11495	141	245	0
385405	11527	144	247	0
385406	11559	147	248	0
385407	11591	150	249	0
385408	11631	154	252	0
385409	11664	156	253	0
385410	11695	160	255	0
385411	11727	162	255	0
385412	11759	165	257	0
385413	11791	168	259	0
385414	11831	172	261	0
385415	11864	174	262	0
385416	11895	177	264	0
385417	11927	180	266	0
385418	11959	182	267	0
385419	11991	185	268	0
385420	12031	187	269	0
385421	12064	192	272	0
385422	12095	193	274	0
385423	12127	197	275	0
385424	12159	199	276	0
385425	12191	202	277	0
385426	12231	205	279	0
385427	12264	210	281	0
385428	12296	213	282	0
385429	12327	215	282	0
385430	12359	220	283	0
385431	12391	222	283	0
385432	12431	226	284	0
385433	12464	229	284	0
385434	12496	232	285	0
385435	12527	234	286	0
385436	12559	238	287	0
385437	12591	241	287	0
385438	12631	247	288	0
385439	12664	249	288	0
385440	12696	253	289	0
385441	12727	254	289	0
385442	12759	256	290	0
385443	12791	256	289	0
385444	12831	256	289	0
385445	12864	256	289	0
385446	12896	256	289	0
385447	12927	256	288	0
385448	12959	257	288	0
385449	12991	257	289	0
385450	13031	257	289	0
385451	13063	258	288	0
385452	13096	258	288	0
385453	13127	259	287	0
385454	13159	262	288	0
385455	13191	263	288	0
385456	13231	266	288	0
385457	13263	269	288	0
385458	13296	272	288	0
385459	13328	274	289	0
385460	13359	277	289	0
385461	13391	281	290	0
385462	13431	283	290	0
385463	13463	287	291	0
385464	13495	289	291	0
385465	13528	292	291	0
385466	13559	295	291	0
385467	13591	299	293	0
385468	13623	302	293	0
385469	13663	306	294	0
385470	13695	309	295	0
385471	13728	313	295	0
385472	13759	316	297	0
385473	13791	320	297	0
385474	13823	322	297	0
385475	13863	326	298	0
385476	13895	330	299	0
385477	13928	333	301	0
385478	13959	336	301	0
385479	13991	340	301	0
385480	14023	343	302	0
385481	14063	347	303	0
385482	14095	351	304	0
385483	14127	354	305	0
385484	14160	359	306	0
385485	14191	361	306	0
385486	14223	367	307	0
385487	14263	370	308	0
385488	14295	373	309	0
385489	14327	377	311	0
385490	14360	380	311	0
385491	14392	385	312	0
385492	14423	387	313	0
385493	14463	391	313	0
385494	14495	396	315	0
385495	14527	400	316	0
385496	14560	403	316	0
385497	14592	408	317	0
385498	14623	412	318	0
385499	14663	415	317	0
385500	14695	419	317	0
385501	14727	422	317	0
385502	14760	427	317	0
385503	14791	430	316	0
385504	14823	434	317	0
385505	14863	437	318	0
385506	14895	440	318	0
385507	14927	443	317	0
385508	14959	444	316	0
385509	14992	449	318	0
385510	15023	450	318	0
385511	15063	450	318	0
385512	15095	452	320	0
385513	15128	454	320	0
385514	15168	457	322	0
385515	15196	459	325	0
385516	15224	462	327	0
385517	15263	463	328	0
385518	15295	466	330	0
385519	15327	469	332	0
385520	15359	470	331	0
385521	15392	471	331	0
385522	15424	471	331	0
385523	15463	470	330	0
385524	15495	470	330	0
385525	15527	470	329	0
385526	15559	469	330	0
385527	15591	469	330	0
385528	15623	469	329	0
385529	15663	469	329	0
385530	15695	470	329	0
385531	15727	470	330	0
385532	15759	470	330	0
385533	15791	470	329	0
385534	15824	470	330	0
385535	15863	470	329	0
385536	15895	470	330	0
385537	15927	471	329	0
385538	15959	472	329	0
385539	15991	472	328	0
385540	16024	472	328	0
385541	16063	473	329	0
385542	16095	473	329	0
385543	16127	473	329	0
385544	16159	473	329	0
385545	16191	472	329	0
385546	16223	472	329	0
385547	16263	472	329	0
385548	16295	472	329	0
385549	16327	472	330	0
385550	16359	471	330	0
385551	16391	471	330	0
385552	16423	470	330	0
385553	16463	469	330	0
385554	16495	469	331	0
385555	16527	468	331	0
385556	16559	467	331	0
385557	16591	466	332	0
385558	16623	466	333	0
385559	16663	466	333	0
385560	16695	465	334	0
385561	16727	467	337	0
385562	16759	466	338	0
385563	16791	466	340	0
385564	16823	465	340	0
385565	16863	465	342	0
385566	16895	466	344	0
385567	16927	465	345	0
385568	16959	465	346	0
385569	16991	463	345	0
385570	17023	464	345	0
385571	17063	463	346	0
385572	17095	463	346	0
385573	17127	463	346	0
385574	17159	463	347	0
385575	17191	463	347	0
385576	17223	462	347	0
385577	17263	461	347	0
385578	17295	461	347	0
385579	17327	462	348	0
385580	17359	462	348	0
385581	17391	460	349	0
385582	17423	459	349	0
385583	17455	458	350	0
385584	17495	457	352	0
385585	17527	456	354	0
385586	17559	455	355	0
385587	17591	455	357	0
385588	17623	455	360	0
385589	17663	453	362	0
385590	17695	452	362	0
385591	17727	452	364	0
385592	17759	451	365	0
385593	17791	450	366	0
385594	17823	450	367	0
385595	17863	450	366	0
385596	17895	450	368	0
385597	17927	450	368	0
385598	17959	449	369	0
385599	17991	449	371	0
385600	18023	446	370	0
385601	18063	447	371	0
385602	18095	447	372	0
385603	18127	447	372	0
385604	18159	447	373	0
385605	18191	446	373	0
385606	18223	446	373	0
385607	18263	446	374	0
385608	18295	446	374	0
385609	18327	446	376	0
385610	18359	445	375	0
385611	18391	444	376	0
385612	18423	444	376	0
385613	18463	443	377	0
385614	18495	442	372	0
385615	18527	441	376	0
385616	18559	439	375	0
385617	18591	438	376	0
385618	18623	438	377	0
385619	18663	438	380	0
385620	18695	434	379	0
385621	18727	433	380	0
385622	18759	432	379	0
385623	18791	431	379	0
385624	18823	429	382	0
385625	18863	427	384	0
385626	18895	425	383	0
385627	18927	424	386	0
385628	18959	423	385	0
385629	18991	420	388	0
385630	19023	418	391	0
385631	19063	416	392	0
385632	19095	415	393	0
385633	19127	411	397	0
385634	19159	409	397	0
385635	19191	408	399	0
385636	19223	406	402	0
385637	19263	404	404	0
385638	19295	402	403	0
385639	19327	402	406	0
385640	19359	399	404	0
385641	19391	396	408	0
385642	19423	397	409	0
385643	19463	396	409	0
385644	19495	395	410	0
385645	19527	393	414	0
385646	19559	392	417	0
385647	19591	393	415	0
385648	19623	392	417	0
385649	19655	391	417	0
385650	19695	390	420	0
385651	19727	389	419	0
385652	19759	389	419	0
385653	19791	387	421	0
385654	19823	388	417	0
385655	19855	387	416	0
385656	19895	386	420	0
385657	19927	386	420	0
385658	19959	386	419	0
385659	19991	385	419	0
385660	20023	387	423	0
385661	20055	389	424	0
385662	20095	383	421	0
385663	20127	382	424	0
385664	20159	379	424	0
385665	20191	380	421	0
385666	20223	381	423	0
385667	20255	379	426	0
385668	20295	378	426	0
385669	20327	379	425	0
