frame	time	x	y	burst
170642	32	357	348	0
170643	64	359	351	0
170644	111	362	354	0
170645	143	363	355	0
170646	175	366	359	0
170647	206	369	361	0
170648	239	371	364	0
170649	270	373	367	0
170650	303	375	370	0
170651	334	376	372	0
170652	367	378	375	0
170653	398	379	378	0
170654	431	381	382	0
170655	462	382	385	0
170656	516	383	388	0
170657	557	384	391	0
170658	585	385	394	0
170659	613	386	396	0
170660	642	387	400	0
170661	670	388	403	0
170662	703	389	405	0
170663	734	390	407	0
170664	767	391	410	0
170665	798	391	410	0
170666	830	392	412	0
170667	862	392	412	0
170668	910	392	411	0
170669	942	392	412	0
170670	975	392	412	0
170671	1007	392	412	0
170672	1038	392	412	0
170673	1070	392	413	0
170674	1102	394	414	0
170675	1134	394	413	0
170676	1166	394	412	0
170677	1198	393	410	0
170678	1230	392	410	0
170679	1262	392	410	0
170680	1310	391	408	0
170681	1342	391	407	0
170682	1375	393	406	0
170683	1407	394	406	0
170684	1439	394	405	0
170685	1470	394	405	0
170686	1502	395	404	0
170687	1534	397	404	0
170688	1566	398	403	0
170689	1598	400	402	0
170690	1630	403	401	0
170691	1662	405	400	0
170692	1716	407	400	0
170693	1759	410	398	0
170694	1791	413	397	0
170695	1823	417	396	0
170696	1855	419	396	0
170697	1888	421	395	0
170698	1925	422	395	0
170699	1953	424	395	0
170700	1981	424	395	0
170701	2009	426	393	0
170702	2037	427	393	0
170703	2066	427	393	0
170704	2110	427	393	0
170705	2142	426	392	0
170706	2174	426	392	0
170707	2207	426	390	0
170708	2239	426	390	0
170709	2271	426	389	0
170710	2302	426	387	0
170711	2334	427	386	0
170712	2367	427	384	0
170713	2399	427	384	0
170714	2431	428	382	0
170715	2463	429	380	0
170716	2495	430	378	0
170717	2543	430	376	0
170718	2575	431	373	0
170719	2607	432	370	0
170720	2640	433	366	0
170721	2672	434	363	0
170722	2704	434	360	0
170723	2735	436	356	0
170724	2767	437	353	0
170725	2799	438	349	0
170726	2832	438	346	0
170727	2863	439	343	0
170728	2895	440	340	0
170729	2949	441	338	0
170730	2991	442	335	0
170731	3023	444	331	0
170732	3055	444	328	0
170733	3087	445	325	0
170734	3120	445	321	0
170735	3151	446	317	0
170736	3179	447	314	0
170737	3207	447	310	0
170738	3235	449	306	0
170739	3263	449	302	0
170740	3295	449	299	0
170741	3343	450	295	0
170742	3375	451	291	0
170743	3407	451	287	0
170744	3439	452	283	0
170745	3471	452	279	0
170746	3503	453	276	0
170747	3536	453	272	0
170748	3567	454	268	0
170749	3599	453	265	0
170750	3631	454	261	0
170751	3663	454	257	0
170752	3695	454	254	0
170753	3743	454	250	0
170754	3775	454	247	0
170755	3807	454	243	0
170756	3839	454	239	0
170757	3871	453	236	0
170758	3903	453	232	0
170759	3935	453	227	0
170760	3968	453	224	0
170761	3999	453	221	0
170762	4031	453	217	0
170763	4063	453	214	0
170764	4095	453	211	0
170765	4149	453	208	0
170766	4190	452	205	0
170767	4222	452	203	0
170768	4254	451	202	0
170769	4286	451	200	0
170770	4314	451	198	0
170771	4342	450	195	0
170772	4370	448	193	0
170773	4399	446	190	0
170774	4431	444	187	0
170775	4463	442	185	0
170776	4495	440	182	0
170777	4543	438	179	0
170778	4575	435	177	0
170779	4607	433	174	0
170780	4639	432	172	0
170781	4671	429	168	0
170782	4703	426	165	0
170783	4735	424	163	0
170784	4767	422	160	0
170785	4800	419	156	0
170786	4831	417	154	0
170787	4863	416	151	0
170788	4895	413	148	0
170789	4943	412	145	0
170790	4980	409	140	0
170791	5013	407	138	0
170792	5041	405	134	0
170793	5071	404	132	0
170794	5103	402	128	0
170795	5135	401	125	0
170796	5167	399	122	0
170797	5200	398	118	0
170798	5232	397	114	0
170799	5263	395	112	0
170800	5295	394	109	0
170801	5349	392	105	0
170802	5390	390	103	0
170803	5422	388	99	0
170804	5454	387	95	0
170805	5486	386	93	0
170806	5518	385	90	0
170807	5550	383	87	0
170808	5578	382	84	0
170809	5606	381	83	0
170810	5634	380	80	0
170811	5663	378	77	0
170812	5695	377	75	0
170813	5743	376	72	0
170814	5775	375	71	0
170815	5807	375	71	0
170816	5839	375	69	0
170817	5871	373	66	0
170818	5903	373	64	0
170819	5935	371	62	0
170820	5967	370	59	0
170821	5999	369	56	0
170822	6031	367	53	0
170823	6063	367	51	0
170824	6095	366	50	0
170825	6143	365	48	0
170826	6180	365	47	0
170827	6212	364	46	0
170828	6241	363	44	0
170829	6271	362	41	0
170830	6303	361	38	0
170831	6335	360	36	0
170832	6367	358	34	0
170833	6399	358	32	0
170834	6431	357	30	0
170835	6463	355	30	0
170836	6496	355	31	0
170837	6549	355	30	0
170838	6591	356	33	0
170839	6623	356	35	0
170840	6655	357	36	0
170841	6688	357	37	0
170842	6725	357	39	0
170843	6753	358	42	0
