frame	time	x	y	burst
177889	32	182	432	0
177890	65	183	432	0
177891	104	183	432	0
177892	134	184	431	0
177893	164	185	431	0
177894	193	186	431	0
177895	239	187	431	0
177896	271	188	431	0
177897	303	189	430	0
177898	335	191	431	0
177899	367	193	431	0
177900	399	194	430	0
177901	431	197	429	0
177902	463	199	429	0
177903	495	201	428	0
177904	527	203	427	0
177905	559	205	427	0
177906	592	207	426	0
177907	639	210	425	0
177908	671	213	425	0
177909	703	216	424	0
177910	735	219	423	0
177911	767	221	423	0
177912	799	224	422	0
177913	831	228	422	0
177914	863	232	421	0
177915	895	235	421	0
177916	927	238	420	0
177917	960	242	420	0
177918	991	245	420	0
177919	1039	248	420	0
177920	1071	252	420	0
177921	1103	255	421	0
177922	1135	259	420	0
177923	1167	262	420	0
177924	1199	265	421	0
177925	1231	269	421	0
177926	1263	273	421	0
177927	1295	276	421	0
177928	1327	278	421	0
177929	1359	283	422	0
177930	1391	285	422	0
177931	1439	289	423	0
177932	1471	292	424	0
177933	1503	295	425	0
177934	1535	299	426	0
177935	1567	302	427	0
177936	1599	305	427	0
177937	1631	309	429	0
177938	1663	313	430	0
177939	1695	315	430	0
177940	1727	319	432	0
177941	1759	320	433	0
177942	1791	322	433	0
177943	1839	324	433	0
177944	1871	325	434	0
177945	1903	326	433	0
177946	1935	328	433	0
177947	1967	330	433	0
177948	1999	330	432	0
177949	2031	332	432	0
177950	2063	333	432	0
177951	2096	334	432	0
177952	2127	335	431	0
177953	2159	336	430	0
177954	2191	337	430	0
177955	2239	338	428	0
177956	2279	339	427	0
177957	2308	339	427	0
177958	2338	341	424	0
177959	2367	342	422	0
177960	2399	342	421	0
177961	2431	342	419	0
177962	2464	343	416	0
177963	2495	342	414	0
177964	2527	342	412	0
177965	2559	343	409	0
177966	2591	343	406	0
177967	2639	343	406	0
177968	2671	344	404	0
177969	2703	343	403	0
177970	2735	344	400	0
177971	2767	344	399	0
177972	2799	344	397	0
177973	2831	344	395	0
177974	2863	344	394	0
177975	2895	343	393	0
177976	2927	343	391	0
177977	2959	342	390	0
177978	2991	342	388	0
177979	3039	342	385	0
177980	3071	341	383	0
177981	3103	341	381	0
177982	3135	340	379	0
177983	3167	340	377	0
177984	3199	339	375	0
177985	3231	339	372	0
177986	3263	339	370	0
177987	3295	339	369	0
177988	3327	339	367	0
177989	3359	340	364	0
177990	3391	340	361	0
177991	3439	341	359	0
177992	3478	341	357	0
177993	3508	341	354	0
177994	3538	342	350	0
177995	3567	343	347	0
177996	3600	344	345	0
177997	3631	344	342	0
177998	3663	344	340	0
177999	3695	346	337	0
178000	3727	346	334	0
178001	3759	346	331	0
178002	3791	346	330	0
178003	3839	347	327	0
178004	3871	348	324	0
178005	3903	349	321	0
178006	3935	350	318	0
178007	3967	351	316	0
178008	3999	351	314	0
178009	4031	352	310	0
178010	4063	353	308	0
178011	4095	354	306	0
178012	4127	355	305	0
178013	4159	355	303	0
178014	4191	357	300	0
178015	4239	357	299	0
178016	4271	358	296	0
178017	4303	359	293	0
178018	4335	360	291	0
178019	4367	362	288	0
178020	4399	363	285	0
178021	4431	364	283	0
178022	4463	364	282	0
178023	4495	366	278	0
178024	4527	367	275	0
178025	4559	368	273	0
178026	4591	370	270	0
178027	4623	371	267	0
178028	4671	372	264	0
178029	4714	373	262	0
178030	4744	374	259	0
178031	4773	376	256	0
178032	4803	377	252	0
178033	4832	377	250	0
178034	4863	379	246	0
178035	4895	380	244	0
178036	4927	380	241	0
178037	4959	382	237	0
178038	4991	382	235	0
178039	5023	383	231	0
178040	5071	383	230	0
178041	5104	383	228	0
178042	5135	382	228	0
178043	5167	382	226	0
178044	5199	382	226	0
178045	5231	381	224	0
178046	5263	380	222	0
178047	5295	380	221	0
178048	5327	379	220	0
178049	5359	379	217	0
178050	5391	378	216	0
178051	5423	378	213	0
178052	5471	378	211	0
178053	5503	378	208	0
178054	5535	378	206	0
178055	5567	378	203	0
178056	5599	379	200	0
178057	5631	379	197	0
178058	5663	379	195	0
178059	5695	379	192	0
178060	5727	379	189	0
178061	5759	380	186	0
178062	5791	380	183	0
178063	5823	381	180	0
178064	5871	382	177	0
178065	5916	382	174	0
178066	5946	383	171	0
178067	5976	384	166	0
178068	6006	384	164	0
178069	6034	384	161	0
178070	6065	384	158	0
178071	6095	384	155	0
178072	6127	384	152	0
178073	6159	384	149	0
178074	6191	385	147	0
178075	6223	386	143	0
178076	6271	386	141	0
178077	6303	387	137	0
178078	6335	387	134	0
178079	6367	388	130	0
178080	6399	389	128	0
178081	6431	389	125	0
178082	6463	391	120	0
178083	6495	392	117	0
178084	6527	392	114	0
178085	6559	393	111	0
178086	6591	394	109	0
178087	6623	395	106	0
178088	6671	396	103	0
178089	6703	396	100	0
178090	6735	398	97	0
178091	6767	398	95	0
178092	6799	398	92	0
178093	6831	399	88	0
178094	6863	400	85	0
178095	6895	401	82	0
178096	6927	402	79	0
178097	6959	402	77	0
178098	6991	403	75	0
178099	7022	404	71	0
178100	7070	404	70	0
178101	7114	405	67	0
178102	7143	406	65	0
178103	7173	406	64	0
178104	7203	407	62	0
178105	7233	407	62	0
178106	7263	407	62	0
178107	7295	407	62	0
178108	7327	407	62	0
178109	7359	407	62	0
178110	7390	407	62	0
178111	7422	407	62	0
178112	7470	407	63	0
178113	7503	407	63	0
178114	7535	407	64	0
178115	7566	407	64	0
178116	7599	407	63	0
178117	7630	407	62	0
178118	7663	407	62	0
178119	7695	407	61	0
178120	7727	407	61	0
178121	7758	408	61	0
178122	7790	407	62	0
178123	7823	406	63	0
178124	7870	405	62	0
178125	7902	405	63	0
178126	7935	404	63	0
178127	7966	403	63	0
178128	7999	403	63	0
178129	8031	401	63	0
178130	8063	400	64	0
178131	8095	399	64	0
178132	8126	396	65	0
178133	8159	395	65	0
178134	8190	394	65	0
178135	8223	392	66	0
178136	8270	391	66	0
178137	8314	390	66	0
178138	8343	388	65	0
178139	8373	386	66	0
178140	8404	386	65	0
178141	8434	383	65	0
178142	8463	380	65	0
178143	8495	375	64	0
178144	8527	373	64	0
178145	8559	371	63	0
178146	8591	367	63	0
178147	8623	361	61	0
178148	8670	361	61	0
178149	8703	355	59	0
178150	8735	354	59	0
178151	8767	351	58	0
178152	8799	346	57	0
178153	8831	342	55	0
178154	8863	339	54	0
178155	8894	336	53	0
178156	8926	333	51	0
178157	8958	329	50	0
178158	8990	328	48	0
178159	9022	324	47	0
178160	9071	320	45	0
178161	9103	317	44	0
178162	9135	313	42	0
178163	9167	310	40	0
178164	9199	307	38	0
178165	9231	306	37	0
178166	9262	302	35	0
178167	9294	299	34	0
178168	9327	297	32	0
178169	9358	296	31	0
178170	9390	293	29	0
178171	9422	291	28	0
178172	9470	289	26	0
178173	9512	286	24	0
178174	9542	283	22	0
178175	9573	280	20	0
178176	9602	278	18	0
178177	9632	275	16	0
178178	9662	274	15	0
178179	9694	273	15	0
178180	9727	273	16	0
178181	9758	274	17	0
178182	9790	273	17	0
178183	9823	274	18	0
178184	9870	274	18	0
178185	9902	274	19	0
178186	9935	274	20	0
178187	9967	274	20	0
178188	9999	273	21	0
178189	10030	272	22	0
178190	10063	271	23	0
178191	10094	270	24	0
178192	10127	267	27	0
178193	10158	266	29	0
178194	10191	265	31	0
178195	10222	263	33	0
178196	10270	263	34	0
178197	10303	262	36	0
178198	10335	258	39	0
178199	10367	257	41	0
178200	10398	255	43	0
178201	10430	252	46	0
178202	10462	250	48	0
178203	10494	248	50	0
178204	10526	245	53	0
178205	10558	243	55	0
178206	10590	240	58	0
178207	10622	237	61	0
178208	10654	235	63	0
178209	10704	233	65	0
178210	10747	230	67	0
178211	10777	227	69	0
178212	10806	225	71	0
178213	10835	222	73	0
178214	10865	219	75	0
178215	10894	216	76	0
178216	10926	212	79	0
178217	10958	209	81	0
178218	10991	208	82	0
178219	11022	205	84	0
178220	11055	202	86	0
178221	11103	199	88	0
178222	11135	195	90	0
178223	11166	192	91	0
178224	11198	189	93	0
178225	11230	188	94	0
178226	11262	184	96	0
178227	11294	182	96	0
178228	11326	179	97	0
178229	11358	177	98	0
178230	11390	174	99	0
178231	11422	171	100	0
178232	11455	167	102	0
178233	11503	166	102	0
178234	11534	162	104	0
178235	11566	159	105	0
178236	11598	157	105	0
178237	11630	154	106	0
178238	11662	152	106	0
178239	11694	149	107	0
178240	11726	146	108	0
178241	11758	144	109	0
178242	11790	141	109	0
178243	11823	138	109	0
178244	11855	136	109	0
178245	11905	132	110	0
178246	11947	131	110	0
178247	11977	127	112	0
178248	12007	126	112	0
178249	12036	125	113	0
178250	12065	124	114	0
178251	12096	124	116	0
178252	12126	122	118	0
178253	12159	121	121	0
178254	12191	120	123	0
178255	12223	119	124	0
178256	12255	119	126	0
178257	12302	117	128	0
178258	12334	115	130	0
178259	12366	113	133	0
178260	12398	110	135	0
178261	12430	109	137	0
178262	12462	107	139	0
178263	12494	105	141	0
178264	12527	103	142	0
178265	12558	100	144	0
178266	12591	98	145	0
178267	12623	95	146	0
178268	12654	92	147	0
178269	12702	92	148	0
178270	12734	92	148	0
178271	12766	92	148	0
178272	12798	92	148	0
178273	12830	93	148	0
178274	12862	94	148	0
178275	12895	95	148	0
178276	12926	95	148	0
178277	12960	96	148	0
178278	12992	95	149	0
178279	13023	95	149	0
178280	13055	96	150	0
178281	13107	96	151	0
178282	13148	97	152	0
178283	13180	96	153	0
178284	13209	97	154	0
178285	13239	97	156	0
178286	13268	97	158	0
178287	13298	97	160	0
178288	13328	98	161	0
178289	13360	98	163	0
178290	13391	99	165	0
178291	13423	100	167	0
178292	13455	100	169	0
178293	13503	100	171	0
178294	13535	100	172	0
178295	13567	100	175	0
178296	13599	100	177	0
178297	13631	101	179	0
178298	13664	100	182	0
178299	13696	100	184	0
178300	13728	100	188	0
178301	13760	100	190	0
178302	13791	100	193	0
178303	13823	100	196	0
178304	13855	100	198	0
178305	13903	100	201	0
178306	13935	100	204	0
178307	13967	100	206	0
178308	13999	100	208	0
178309	14031	99	210	0
178310	14063	98	213	0
178311	14096	98	215	0
178312	14128	98	217	0
178313	14159	98	220	0
178314	14191	98	222	0
178315	14223	97	226	0
178316	14255	97	228	0
178317	14306	97	231	0
178318	14348	97	233	0
178319	14380	96	237	0
178320	14409	96	240	0
178321	14438	96	244	0
178322	14469	95	246	0
178323	14498	96	248	0
178324	14527	95	253	0
178325	14559	95	255	0
178326	14591	95	258	0
178327	14623	95	260	0
178328	14655	96	262	0
178329	14704	96	265	0
178330	14735	96	268	0
178331	14767	96	271	0
178332	14799	96	274	0
178333	14832	96	277	0
178334	14864	96	280	0
178335	14895	97	282	0
178336	14927	97	286	0
178337	14959	97	290	0
178338	14991	97	293	0
178339	15023	98	296	0
178340	15055	100	298	0
178341	15103	100	301	0
178342	15135	102	304	0
178343	15167	102	307	0
178344	15199	103	310	0
178345	15232	104	312	0
178346	15264	104	316	0
178347	15295	104	318	0
178348	15327	104	321	0
178349	15359	105	324	0
178350	15391	106	328	0
178351	15423	106	331	0
178352	15455	107	334	0
178353	15506	108	337	0
178354	15549	108	340	0
178355	15581	108	343	0
178356	15609	109	345	0
178357	15640	109	349	0
178358	15670	109	351	0
178359	15699	110	353	0
178360	15728	111	356	0
178361	15759	111	358	0
178362	15791	111	361	0
178363	15823	111	362	0
178364	15855	111	364	0
178365	15903	111	364	0
178366	15935	111	364	0
178367	15967	111	364	0
178368	16000	111	364	0
178369	16031	111	364	0
178370	16063	111	364	0
178371	16095	112	363	0
178372	16127	112	363	0
178373	16159	112	363	0
178374	16191	113	361	0
178375	16223	113	361	0
178376	16255	113	360	0
178377	16303	113	360	0
178378	16335	114	359	0
178379	16368	115	359	0
178380	16399	116	359	0
178381	16431	118	360	0
178382	16463	119	360	0
178383	16495	120	360	0
178384	16527	121	360	0
178385	16559	123	360	0
178386	16591	124	360	0
178387	16623	125	361	0
178388	16655	126	361	0
178389	16687	128	362	0
178390	16741	130	363	0
178391	16782	131	364	0
178392	16813	132	365	0
178393	16844	134	366	0
178394	16873	136	369	0
178395	16902	138	371	0
178396	16931	139	373	0
178397	16961	139	373	0
178398	16991	141	376	0
178399	17023	141	377	0
