frame	time	x	y	burst
54502	32	346	370	0
54503	73	346	372	0
54504	105	346	375	0
54505	137	347	379	0
54506	169	347	382	0
54507	200	345	385	0
54508	232	345	386	0
54509	272	341	390	0
54510	305	340	391	0
54511	337	338	395	0
54512	369	336	396	0
54513	401	334	398	0
54514	432	333	401	0
54515	464	330	404	0
54516	505	330	406	0
54517	537	328	408	0
54518	569	326	410	0
54519	601	326	413	0
54520	632	324	415	0
54521	664	323	417	0
54522	704	322	420	0
54523	737	321	421	0
54524	769	320	423	0
54525	801	319	426	0
54526	832	318	429	0
54527	865	316	431	0
54528	904	315	433	0
54529	937	314	437	0
54530	969	314	437	0
54531	1001	313	442	0
54532	1032	311	446	0
54533	1064	311	447	0
54534	1104	309	448	0
54535	1137	308	448	0
54536	1169	307	446	0
54537	1201	305	447	0
54538	1233	303	448	0
54539	1264	302	446	0
54540	1304	300	445	0
54541	1336	300	444	0
54542	1369	296	445	0
54543	1401	296	446	0
54544	1433	293	447	0
54545	1464	293	446	0
54546	1504	292	447	0
54547	1537	292	447	0
54548	1569	290	450	0
54549	1601	290	450	0
54550	1633	289	452	0
54551	1665	289	454	0
54552	1704	288	455	0
54553	1736	288	455	0
54554	1768	288	455	0
54555	1801	289	455	0
54556	1833	289	453	0
54557	1864	289	453	0
54558	1904	290	453	0
54559	1936	290	452	0
54560	1969	290	450	0
54561	2000	289	449	0
54562	2033	289	449	0
54563	2065	289	449	0
54564	2104	287	448	0
54565	2136	286	447	0
54566	2168	286	445	0
54567	2200	284	444	0
54568	2233	283	443	0
54569	2265	283	442	0
54570	2304	282	439	0
54571	2336	280	439	0
54572	2368	277	436	0
54573	2401	276	434	0
54574	2433	274	434	0
54575	2465	273	434	0
54576	2504	272	431	0
54577	2536	270	429	0
54578	2568	268	428	0
54579	2601	265	426	0
54580	2632	264	425	0
54581	2665	262	424	0
54582	2704	259	422	0
54583	2736	258	421	0
54584	2768	255	419	0
54585	2800	254	419	0
54586	2832	252	416	0
54587	2865	247	416	0
54588	2904	247	414	0
54589	2936	245	414	0
54590	2968	241	413	0
54591	3000	240	411	0
54592	3033	237	410	0
54593	3065	233	410	0
54594	3104	230	410	0
54595	3136	227	408	0
54596	3168	224	407	0
54597	3200	222	405	0
54598	3232	219	405	0
54599	3265	217	404	0
54600	3304	212	403	0
54601	3336	210	404	0
54602	3368	208	402	0
54603	3400	202	404	0
54604	3432	201	401	0
54605	3464	197	401	0
54606	3504	194	401	0
54607	3536	194	401	0
54608	3568	189	400	0
54609	3600	187	400	0
54610	3632	185	400	0
54611	3664	185	400	0
54612	3704	182	399	0
54613	3736	181	399	0
54614	3768	180	399	0
54615	3800	179	398	0
54616	3832	177	399	0
54617	3864	174	399	0
54618	3904	173	398	0
54619	3936	172	397	0
54620	3968	169	397	0
54621	4000	169	397	0
54622	4032	167	396	0
54623	4065	163	398	0
54624	4104	162	398	0
54625	4136	163	398	0
54626	4168	162	398	0
54627	4200	161	402	0
54628	4232	161	402	0
54629	4264	161	403	0
54630	4304	161	404	0
54631	4336	159	408	0
54632	4368	159	409	0
54633	4400	159	410	0
54634	4432	159	409	0
54635	4464	159	409	0
54636	4504	158	408	0
54637	4536	158	407	0
54638	4568	158	405	0
54639	4600	159	404	0
54640	4632	159	402	0
54641	4664	159	402	0
54642	4696	158	401	0
54643	4736	158	400	0
54644	4768	156	399	0
54645	4800	155	396	0
54646	4832	155	396	0
54647	4864	154	394	0
54648	4904	155	393	0
54649	4936	154	391	0
54650	4968	154	390	0
54651	5000	154	389	0
54652	5032	154	387	0
54653	5064	154	385	0
54654	5104	153	384	0
54655	5136	153	384	0
54656	5168	153	382	0
54657	5200	153	381	0
54658	5232	154	382	0
54659	5264	155	381	0
54660	5304	155	380	0
54661	5337	156	378	0
54662	5368	156	377	0
54663	5400	157	376	0
54664	5432	159	374	0
54665	5464	159	374	0
54666	5504	161	371	0
54667	5536	161	371	0
